price_reduced_amount,year_built,sold_date,sold_price,lot_sqft,sqft,baths,garage,stories,beds,type,postal_code,state,city,central_air,central_heat,fireplace,rental_property,community_outdoor_space,energy_efficient,community_security_features,recreation_facilities,carport,dishwasher,washer_dryer,laundry_room,floor_plan,ensuite,shopping,hardwood_floors,high_ceiling,community_swimming_pool,modern_kitchen,open_floor_plan,fenced_yard,new_roof,front_porch,groundscare,basement,updated_kitchen,corner_lot,farm,park,ranch,trails,forced_air,dining_room,family_room,view
2500.0,1962,2024-01-12,153000.0,10285.0,1464.0,2,2,1,3,single_family,73127,Oklahoma,Oklahoma City,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,2008,2024-01-12,185000.0,6970.0,1101.0,2,2,1,3,single_family,73078,Oklahoma,Piedmont,True,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
3000.0,1968,2024-01-12,188000.0,6970.0,1269.0,2,2,1,3,single_family,73139,Oklahoma,Oklahoma City,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18000.0,2014,2024-01-12,632500.0,14375.0,3825.0,4,3,2,4,single_family,73170,Oklahoma,Oklahoma City,True,True,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
6000.0,2005,2024-01-12,165000.0,5001.0,952.0,2,1,1,2,single_family,73117,Oklahoma,Oklahoma City,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,2017,2024-01-12,320000.0,8398.0,2008.0,2,3,1,3,single_family,73064,Oklahoma,Mustang,True,True,True,False,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4000.0,2013,2024-01-12,810000.0,305264.0,3001.0,3,4,2,3,single_family,73013,Oklahoma,Edmond,False,True,True,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False
5000.0,1984,2024-01-12,220000.0,6970.0,1318.0,2,2,1,3,single_family,73170,Oklahoma,Oklahoma City,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,2008,2024-01-12,1299000.0,28288.0,4398.0,5,4,1,4,single_family,73013,Oklahoma,Edmond,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
0.0,1928,2024-01-12,327500.0,8159.0,2018.0,2,2,2,4,single_family,73105,Oklahoma,Oklahoma City,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1900.0,1976,2024-01-12,238000.0,9727.0,1921.0,3,2,2,3,single_family,73162,Oklahoma,Oklahoma City,True,True,True,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,1956,2024-01-12,106000.0,7841.0,858.0,1,1,1,3,single_family,73110,Oklahoma,Midwest City,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0.0,2023,2024-01-12,434500.0,10019.0,2147.0,3,3,1,3,single_family,73142,Oklahoma,Oklahoma City,True,True,True,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,2001,2024-01-12,209000.0,3598.0,1392.0,2,2,1,3,single_family,73120,Oklahoma,Oklahoma City,True,True,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,1950,2024-01-12,177500.0,6203.0,919.0,1,1,1,2,single_family,73120,Oklahoma,Oklahoma City,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,1920,2024-01-12,102000.0,273992.0,1629.0,0,0,1,3,land,73084,Oklahoma,Spencer,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,2011,2024-01-12,298800.0,7841.0,1946.0,2,3,1,3,single_family,73132,Oklahoma,Oklahoma City,True,True,True,False,True,True,True,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0.0,2003,2024-01-12,272500.0,10890.0,2167.0,2,3,1,3,single_family,73139,Oklahoma,Oklahoma City,True,True,True,False,True,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,2016,2024-01-12,410000.0,8202.0,2165.0,2,2,1,4,single_family,73120,Oklahoma,Oklahoma City,True,True,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5000.0,1968,2024-01-12,200000.0,8185.0,1629.0,3,2,1,3,single_family,73109,Oklahoma,Oklahoma City,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,1920,2024-01-12,147500.0,43560.0,1629.0,0,0,1,3,land,73013,Oklahoma,Edmond,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16000.0,2016,2024-01-12,267500.0,6094.0,1729.0,2,2,1,3,single_family,73142,Oklahoma,Edmond,True,True,True,False,True,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,1952,2024-01-12,163000.0,7614.0,924.0,1,1,1,2,single_family,73116,Oklahoma,Oklahoma City,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0,1948,2024-01-12,172500.0,8350.0,916.0,1,1,1,2,single_family,73112,Oklahoma,Oklahoma City,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False
0.0,2023,2024-01-12,380000.0,9239.0,2075.0,3,3,1,4,single_family,73099,Oklahoma,Yukon,True,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,2002,2024-01-12,339000.0,10350.0,2427.0,2,3,1,3,single_family,73012,Oklahoma,Edmond,True,True,True,False,True,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,1961,2024-01-12,147000.0,8777.0,1016.0,1,2,1,3,single_family,73114,Oklahoma,Oklahoma City,True,True,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,1977,2024-01-12,360000.0,6050.0,3535.0,4,2,2,3,single_family,73132,Oklahoma,Oklahoma City,True,True,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
0.0,1997,2024-01-12,165000.0,218236.0,1216.0,2,0,1,3,single_family,73099,Oklahoma,Yukon,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2000.0,1968,2024-01-12,130000.0,6490.0,937.0,1,1,1,3,single_family,73135,Oklahoma,Oklahoma City,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,2023,2024-01-12,280000.0,7841.0,1295.0,2,2,1,3,single_family,73170,Oklahoma,Oklahoma City,True,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
7500.0,1991,2024-01-12,255000.0,8002.0,1987.0,2,2,1,4,single_family,73012,Oklahoma,Edmond,True,True,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
